BaseCase,RA,RASDG,Year,indicator,Country/Region
39.93,81.1,81.98,2058,Renewable_Share,High Income Countries
41.44,82.29,83.39,2059,Renewable_Share,High Income Countries
42.72,83.52,84.33,2060,Renewable_Share,High Income Countries
12.26,12.26,12.26,2020,Renewable_Share,Latin America & the Caribbean
12.63,12.63,12.63,2021,Renewable_Share,Latin America & the Caribbean
13.18,13.18,13.18,2022,Renewable_Share,Latin America & the Caribbean
13.8,13.8,13.8,2023,Renewable_Share,Latin America & the Caribbean
14.51,14.51,14.51,2024,Renewable_Share,Latin America & the Caribbean
15.31,15.31,15.31,2025,Renewable_Share,Latin America & the Caribbean
16.19,16.32,16.32,2026,Renewable_Share,Latin America & the Caribbean
17.14,17.75,17.75,2027,Renewable_Share,Latin America & the Caribbean
18.15,19.52,19.5,2028,Renewable_Share,Latin America & the Caribbean
19.21,21.64,21.61,2029,Renewable_Share,Latin America & the Caribbean
20.23,24.1,24.08,2030,Renewable_Share,Latin America & the Caribbean
21.32,26.75,26.77,2031,Renewable_Share,Latin America & the Caribbean
22.5,29.64,29.72,2032,Renewable_Share,Latin America & the Caribbean
23.78,32.8,32.98,2033,Renewable_Share,Latin America & the Caribbean
25.16,36.25,36.56,2034,Renewable_Share,Latin America & the Caribbean
26.65,39.94,40.4,2035,Renewable_Share,Latin America & the Caribbean
28.26,43.68,44.31,2036,Renewable_Share,Latin America & the Caribbean
29.97,47.57,48.34,2037,Renewable_Share,Latin America & the Caribbean
31.76,51.51,52.4,2038,Renewable_Share,Latin America & the Caribbean
33.56,55.36,56.33,2039,Renewable_Share,Latin America & the Caribbean
35.38,59.15,60.16,2040,Renewable_Share,Latin America & the Caribbean
37.22,62.89,63.9,2041,Renewable_Share,Latin America & the Caribbean
39.09,66.56,67.56,2042,Renewable_Share,Latin America & the Caribbean
41.02,69.98,70.97,2043,Renewable_Share,Latin America & the Caribbean
43.05,72.95,73.96,2044,Renewable_Share,Latin America & the Caribbean
45.19,75.55,76.49,2045,Renewable_Share,Latin America & the Caribbean
47.41,77.68,78.68,2046,Renewable_Share,Latin America & the Caribbean
49.66,79.77,80.68,2047,Renewable_Share,Latin America & the Caribbean
51.92,81.55,82.49,2048,Renewable_Share,Latin America & the Caribbean
53.97,83.58,84.45,2049,Renewable_Share,Latin America & the Caribbean
55.97,85.04,85.95,2050,Renewable_Share,Latin America & the Caribbean
57.99,86.64,87.48,2051,Renewable_Share,Latin America & the Caribbean
59.94,87.8,88.64,2052,Renewable_Share,Latin America & the Caribbean
61.85,89.16,89.91,2053,Renewable_Share,Latin America & the Caribbean
63.73,90.08,90.81,2054,Renewable_Share,Latin America & the Caribbean
65.56,91.19,91.86,2055,Renewable_Share,Latin America & the Caribbean
67.32,91.9,92.56,2056,Renewable_Share,Latin America & the Caribbean
69.07,92.81,93.42,2057,Renewable_Share,Latin America & the Caribbean
70.74,93.32,93.9,2058,Renewable_Share,Latin America & the Caribbean
72.28,94.09,94.63,2059,Renewable_Share,Latin America & the Caribbean
73.78,94.46,94.99,2060,Renewable_Share,Latin America & the Caribbean
12.38,12.38,12.38,2020,Renewable_Share,Low Income Countries
12.53,12.53,12.53,2021,Renewable_Share,Low Income Countries
13,13,13,2022,Renewable_Share,Low Income Countries
13.8,13.8,13.8,2023,Renewable_Share,Low Income Countries
14.74,14.74,14.74,2024,Renewable_Share,Low Income Countries
15.6,15.6,15.6,2025,Renewable_Share,Low Income Countries
16.42,16.44,16.44,2026,Renewable_Share,Low Income Countries
17.22,17.38,17.38,2027,Renewable_Share,Low Income Countries
18.02,18.46,18.47,2028,Renewable_Share,Low Income Countries
18.91,19.79,19.8,2029,Renewable_Share,Low Income Countries
19.85,21.36,21.36,2030,Renewable_Share,Low Income Countries
20.84,23.06,23.08,2031,Renewable_Share,Low Income Countries
21.9,24.91,24.97,2032,Renewable_Share,Low Income Countries
22.99,26.92,27.06,2033,Renewable_Share,Low Income Countries
24.09,29.12,29.35,2034,Renewable_Share,Low Income Countries
25.17,31.56,31.9,2035,Renewable_Share,Low Income Countries
26.28,34.28,34.74,2036,Renewable_Share,Low Income Countries
27.42,37.34,37.92,2037,Renewable_Share,Low Income Countries
28.63,40.7,41.39,2038,Renewable_Share,Low Income Countries
29.84,44.26,45.05,2039,Renewable_Share,Low Income Countries
31,47.88,48.74,2040,Renewable_Share,Low Income Countries
32.09,51.48,52.39,2041,Renewable_Share,Low Income Countries
33.06,55.08,56.03,2042,Renewable_Share,Low Income Countries
34.02,58.65,59.64,2043,Renewable_Share,Low Income Countries
35.02,62.23,63.24,2044,Renewable_Share,Low Income Countries
36.04,65.79,66.81,2045,Renewable_Share,Low Income Countries
37.1,69.29,70.33,2046,Renewable_Share,Low Income Countries
38.2,72.62,73.67,2047,Renewable_Share,Low Income Countries
39.29,75.72,76.78,2048,Renewable_Share,Low Income Countries
40.6,78.67,79.73,2049,Renewable_Share,Low Income Countries
42.02,81.46,82.49,2050,Renewable_Share,Low Income Countries
43.43,83.92,84.9,2051,Renewable_Share,Low Income Countries
44.95,86.12,87.03,2052,Renewable_Share,Low Income Countries
46.48,88.04,88.88,2053,Renewable_Share,Low Income Countries
48.09,89.72,90.46,2054,Renewable_Share,Low Income Countries
49.72,91.16,91.81,2055,Renewable_Share,Low Income Countries
51.38,92.38,92.93,2056,Renewable_Share,Low Income Countries
52.85,93.4,93.9,2057,Renewable_Share,Low Income Countries
54.45,94.26,94.69,2058,Renewable_Share,Low Income Countries
56.02,94.98,95.38,2059,Renewable_Share,Low Income Countries
57.53,95.59,95.96,2060,Renewable_Share,Low Income Countries
6.791,6.791,6.791,2020,Renewable_Share,Low Middle Income Countries
7.004,7.004,7.004,2021,Renewable_Share,Low Middle Income Countries
7.365,7.365,7.365,2022,Renewable_Share,Low Middle Income Countries
7.749,7.749,7.749,2023,Renewable_Share,Low Middle Income Countries
8.193,8.193,8.193,2024,Renewable_Share,Low Middle Income Countries
8.658,8.658,8.658,2025,Renewable_Share,Low Middle Income Countries
9.149,9.281,9.281,2026,Renewable_Share,Low Middle Income Countries
9.662,10.09,10.09,2027,Renewable_Share,Low Middle Income Countries
10.22,11.14,11.13,2028,Renewable_Share,Low Middle Income Countries
10.83,12.46,12.45,2029,Renewable_Share,Low Middle Income Countries
11.52,14.11,14.11,2030,Renewable_Share,Low Middle Income Countries
12.27,15.9,15.92,2031,Renewable_Share,Low Middle Income Countries
13.12,17.93,18,2032,Renewable_Share,Low Middle Income Countries
14.06,20.25,20.39,2033,Renewable_Share,Low Middle Income Countries
15.11,22.9,23.15,2034,Renewable_Share,Low Middle Income Countries
16.29,25.93,26.31,2035,Renewable_Share,Low Middle Income Countries
17.61,29.29,29.86,2036,Renewable_Share,Low Middle Income Countries
19.07,33,33.75,2037,Renewable_Share,Low Middle Income Countries
20.64,36.94,37.86,2038,Renewable_Share,Low Middle Income Countries
22.32,40.93,41.99,2039,Renewable_Share,Low Middle Income Countries
24.03,44.83,45.99,2040,Renewable_Share,Low Middle Income Countries
25.77,48.6,49.83,2041,Renewable_Share,Low Middle Income Countries
27.55,52.26,53.54,2042,Renewable_Share,Low Middle Income Countries
29.38,55.81,57.14,2043,Renewable_Share,Low Middle Income Countries
31.28,59.27,60.63,2044,Renewable_Share,Low Middle Income Countries
33.25,62.6,63.97,2045,Renewable_Share,Low Middle Income Countries
35.29,65.81,67.19,2046,Renewable_Share,Low Middle Income Countries
37.41,68.87,70.24,2047,Renewable_Share,Low Middle Income Countries
40.94,71.77,73.13,2048,Renewable_Share,Low Middle Income Countries
43.62,74.54,75.88,2049,Renewable_Share,Low Middle Income Countries
46.85,77.18,78.5,2050,Renewable_Share,Low Middle Income Countries
49.74,79.5,80.79,2051,Renewable_Share,Low Middle Income Countries
52.2,81.65,82.92,2052,Renewable_Share,Low Middle Income Countries
54.32,83.59,84.79,2053,Renewable_Share,Low Middle Income Countries
56.34,85.35,86.49,2054,Renewable_Share,Low Middle Income Countries
58.32,86.88,87.91,2055,Renewable_Share,Low Middle Income Countries
60.23,88.22,89.18,2056,Renewable_Share,Low Middle Income Countries
62.11,89.38,90.11,2057,Renewable_Share,Low Middle Income Countries
63.94,90.23,91.02,2058,Renewable_Share,Low Middle Income Countries
65.73,91.11,91.75,2059,Renewable_Share,Low Middle Income Countries
67.48,91.77,92.48,2060,Renewable_Share,Low Middle Income Countries
1.969,1.969,1.969,2020,Renewable_Share,North Africa & West Asia
2.061,2.061,2.061,2021,Renewable_Share,North Africa & West Asia
2.182,2.182,2.182,2022,Renewable_Share,North Africa & West Asia
2.344,2.344,2.344,2023,Renewable_Share,North Africa & West Asia
2.585,2.585,2.585,2024,Renewable_Share,North Africa & West Asia
2.849,2.849,2.849,2025,Renewable_Share,North Africa & West Asia
3.072,3.131,3.131,2026,Renewable_Share,North Africa & West Asia
3.27,3.444,3.443,2027,Renewable_Share,North Africa & West Asia
3.458,3.799,3.796,2028,Renewable_Share,North Africa & West Asia
3.654,4.223,4.22,2029,Renewable_Share,North Africa & West Asia
3.864,4.742,4.74,2030,Renewable_Share,North Africa & West Asia
4.1,5.31,5.317,2031,Renewable_Share,North Africa & West Asia
4.358,5.972,5.996,2032,Renewable_Share,North Africa & West Asia
4.644,6.756,6.807,2033,Renewable_Share,North Africa & West Asia
4.96,7.694,7.785,2034,Renewable_Share,North Africa & West Asia
5.31,8.821,8.97,2035,Renewable_Share,North Africa & West Asia
5.7,10.14,10.36,2036,Renewable_Share,North Africa & West Asia
6.126,11.71,12.02,2037,Renewable_Share,North Africa & West Asia
6.585,13.52,13.93,2038,Renewable_Share,North Africa & West Asia
7.073,15.53,16.04,2039,Renewable_Share,North Africa & West Asia
7.595,17.7,18.29,2040,Renewable_Share,North Africa & West Asia
8.16,20.04,20.72,2041,Renewable_Share,North Africa & West Asia
8.768,22.57,23.34,2042,Renewable_Share,North Africa & West Asia
9.435,25.3,26.17,2043,Renewable_Share,North Africa & West Asia
10.17,28.26,29.23,2044,Renewable_Share,North Africa & West Asia
10.99,31.44,32.51,2045,Renewable_Share,North Africa & West Asia
11.9,34.8,35.9,2046,Renewable_Share,North Africa & West Asia
12.89,38.23,39.48,2047,Renewable_Share,North Africa & West Asia
13.97,41.86,43.16,2048,Renewable_Share,North Africa & West Asia
15.12,45.61,47.08,2049,Renewable_Share,North Africa & West Asia
16.36,49.58,51.12,2050,Renewable_Share,North Africa & West Asia
17.67,53.31,55.02,2051,Renewable_Share,North Africa & West Asia
19.07,57.12,58.81,2052,Renewable_Share,North Africa & West Asia
20.53,60.69,62.49,2053,Renewable_Share,North Africa & West Asia
22.07,64.22,65.94,2054,Renewable_Share,North Africa & West Asia
23.68,67.42,69.16,2055,Renewable_Share,North Africa & West Asia
25.37,70.49,72.13,2056,Renewable_Share,North Africa & West Asia
27.15,73.27,74.85,2057,Renewable_Share,North Africa & West Asia
29.02,75.83,77.26,2058,Renewable_Share,North Africa & West Asia
30.98,78.08,79.47,2059,Renewable_Share,North Africa & West Asia
33.03,80.16,81.46,2060,Renewable_Share,North Africa & West Asia
2.997,2.997,2.997,2020,Renewable_Share,Oceania
3.162,3.162,3.162,2021,Renewable_Share,Oceania
3.376,3.376,3.376,2022,Renewable_Share,Oceania
3.633,3.633,3.633,2023,Renewable_Share,Oceania
3.938,3.938,3.938,2024,Renewable_Share,Oceania
4.292,4.292,4.292,2025,Renewable_Share,Oceania
4.682,4.776,4.776,2026,Renewable_Share,Oceania
5.109,5.493,5.491,2027,Renewable_Share,Oceania
5.566,6.465,6.456,2028,Renewable_Share,Oceania
